assumption_id,type,observed_methods,strong_evidence,weak_evidence,authoritative_data,appropriate_context,example_icrs
ASM-0001,response_time,Administrative timing; pilot; SME task estimate,"Observed timing sample with tasks,mode,sample,date anddistribution",Unattributed minutes; inherited time without revalidation,Agency workflow logs; testing records,Match timing scope to task andrespondent population,202410-0960-002;202506-2130-004
ASM-0002,population,Registry count; sample design; projected growth,Dated query with filters andunique entity definition,Undated count; assets mislabeled respondents,MCMIS; NERC registry; agency enrollment systems,"Distinguish persons,establishments,forms,assets andevents",202508-2126-007;202504-1902-007
ASM-0003,frequency,Administrative event counts; legal periodicity; expected rate,Observed events per eligible entity per defined period,Monthly flow used as annual probability,JOLTS; agency submissions,Preserve period anddenominator; account overlapping events,202606-1652-001
ASM-0004,pathway_share,Historical mode shares; expert assumption,Dated observed mutually exclusive modes,Subsets added to full parent burden,Enrollment administrative data,Separate additive stages from alternatives,202606-1652-002
ASM-0005,familiarization,Reading time; pilot; rule-specific allowance,Text/task scope plus reader role and measured or justified speed,Unexplained fixed hours every renewal,Rule text; cognitive testing; prior compliance records,One-time cohort versus recurring updates,202312-2050-001;202412-3170-001
ASM-0006,labor_mix,Task-hour allocation; industry employment weights; assumed weights,Observed roles performing each activity,Industry employment share assumed identical to task effort,OEWS SOC byNAICS; task observations,Keep occupation weights separate from population weights,202402-1652-002;202411-2070-003
ASM-0007,wage_selection,Mean;median;entry percentile;direct compensation;federal proxy,Occupation/industry/geography/vintage aligned to task,All occupations without reason; stale private survey,BLS OEWS; ECEC; OPM,Household time valuation is separate choice from employer compensation,202405-1652-001;202409-3235-022
ASM-0008,benefits,ECEC total/wage ratio;wage/(1-share);direct benefits,Same worker universe andperiod for numerator anddenominator,Universal2x without decomposition,BLS ECEC; federal benefit budgets,Do not load direct total compensation twice,202411-1218-005;202606-1652-001
ASM-0009,overhead,20%compensation markup;RACER components;incremental exclusion,"Explicit cost base,components,nonoverlap andincrementality",Unexplained factor; ECEC benefits called overhead,Agency cost accounting; supported overhead studies,Keep profit in vendor price distinct from internal resource costs,202411-2070-003;202312-2050-001
ASM-0010,outsourcing,Make-or-buy share; vendor quote; local firm survey,Dated representative quote set and contract scope,Unknown fees netted against broad savings,Procurement records; vendor schedules; industry consultation,Avoid duplicating contractor hours in respondent labor,202405-1218-005;202505-3060-038
ASM-0011,capital_life,Purchase cohorts; useful life; approval-horizon division,Asset replacement schedule andservice life evidence,Divide annual purchases by3 without cohort rationale,Vendor specifications; asset inventory; agency capital records,Approval horizon differs from useful life andpurchase recurrence,202502-2040-002;202508-2126-007
ASM-0012,usual_customary,Existing obligation allocation; industry share,Demonstrated existing business practice andscope,Blanket zero without showing why,Existing federalICRs; industry operating records,Keep gross new requirement separate from displaced obligation,202404-1220-001;202405-1218-005
ASM-0013,federal_review,Count*time*grade;FTE allocation;contract line,Observed workload/task times andpay/contract support,Flat total or fee equalcost without allocation,OPM; agency workload andcost accounts,"Separate gross cost,userfees,net fiscal effect",202406-1652-001;202401-1615-055
ASM-0014,inflation,GDPdeflator;ECI;unspecified inflation,"Index identity,reference years,formula andeconomic rationale",Latest value substituted without preserving priceyear,"BEA NIPA1.1.9;BLS ECI,CPI,PPI","Wage,asset andgeneral-price inflation are not interchangeable",202411-1651-004
ASM-0015,nonreporter_determination,Fixed annual allowance; eligibility assessment,Count ofpotentially affected nonfilers andassessment tasks,Exclude everybody who ultimately doesnot submit,Business register; compliance outreach; prior calibrated studies,Threshold screening itself may consume burden,202411-2070-003
ASM-0016,change_classification,Driver table;legal-rule change;population adjustment,Named baseline plus quantified requirement/input changes,No-change narrative withlarge discretion change,ROCIS history; prior model; rule text,Newcollection gross cost andnet national burden need separate baselines,202503-3060-020;202606-1652-001
ASM-0017,measurement_scope,Response survey; instrument self-report; paradata,"Aligned scope, sample design anddistribution",Median multiplied as mean; elapsed time treated as active work,Agency burden validation studies,Distinguish preparation from online entry andmultiple respondents,202310-0607-003
ASM-0018,statistical_calibration,Survey-calibrated prediction model,Accessible coefficients andholdout diagnostics with restricted-input protocol,Aggregate model output without replication evidence,IRS taxpayer burden surveys; agency model documentation,Large heterogeneous populations when atomic estimates are inadequate,202511-1545-005
