requirement_id,priority,behavior,empirical_basis,acceptance_condition,priority_authority,evidence_version
TR-01,MUST,"Inputs carry source, locator, date, price year, unit and transformation.","TSA HME and CBP pipeline, SRC-0054/0044",An input ledger traces the final value through all transformations.,Mission 2 implementation judgment,M1-1.0.0
TR-02,MUST,Generate tables and prose from one model version.,"CFPB HMDA, SRC-0052","Title, legal authority and every total agree across outputs.",Mission 2 implementation judgment,M1-1.0.0
TR-03,MUST,Preserve exact units and precision until display.,"FRA HOS, SRC-0070","Eight minutes remains 8/60 hours, not .13.",Mission 2 implementation judgment,M1-1.0.0
TR-04,MUST,"Distinguish unique respondents, responses, assets, sites and chemicals.","EPA TRI and OSHA extinguishers, SRC-0062/0060",Repeated activity rows do not inflate unique respondents.,Mission 2 implementation judgment,M1-1.0.0
TR-05,MUST,Validate exclusive pathways and overlapping occupations.,"TSA HME and FMCSA HOS, SRC-0054/0074",Partition shares sum to one; nested SOC groups are flagged.,Mission 2 implementation judgment,M1-1.0.0
TR-06,MUST,Preserve alternative compensation methods and denominators.,"TSA flight training, OSHA extinguishers, BLS NCS",Direct compensation and wage/compensation-share remain distinct.,Mission 2 implementation judgment,M1-1.0.0
TR-07,MUST,"Model overhead components, allocation bases and overlap.","EPA PCB and EBSA, SRC-0056/0102",Industry-to-occupation matrices reproduce; profit is not silently treated as internal labor cost.,Mission 2 implementation judgment,M1-1.0.0
TR-08,MUST,Maintain an obligation ledger across controls.,"BLS SOII, FDA preventive controls, CMS hospital","Transfers and exclusions identify controls, baselines and effects.",Mission 2 implementation judgment,M1-1.0.0
TR-09,MUST,Separate internal hours from outside services and preserve agency conventions.,OSHA extinguishers and EBSA claims,Outsourced activity is charged once; classification deviations are documented.,Mission 2 implementation judgment,M1-1.0.0
TR-10,MUST,"Separate gross resource cost, fees, offsets and broader benefits.","CBP pipeline, USCIS I-751, TSA fee programs",Unknown costs cannot be replaced by claimed savings.,Mission 2 implementation judgment,M1-1.0.0
TR-11,MUST,"Model capital stock, purchase/replacement cohorts, life and horizon.",EPA CGP and FMCSA ELDs,Annual purchases are not divided by approval years without justification.,Mission 2 implementation judgment,M1-1.0.0
TR-12,MUST,Federal costs expose workload and contract/system allocations.,"TSA aircraft operator, FCC satellite, PHMSA approvals",Staff counts multiply hours and narrative rates match tables.,Mission 2 implementation judgment,M1-1.0.0
TR-13,MUST,"Generate separate bridges for responses, hours and Item 13 dollars.","FCC IPCS, SRC-0064","6690 + 5900 + 1760 + 825 = 15175, with reasons and classifications.",Mission 2 implementation judgment,M1-1.0.0
TR-14,MUST,Maintain multiple named baselines.,FCC notice revision and FERC amendment,"Notice, approval and analytical baselines are never silently substituted.",Mission 2 implementation judgment,M1-1.0.0
TR-15,SHOULD,Support statistical model nodes alongside workload equations.,"IRS business tax, SRC-0094","Coefficients, calibration, restricted inputs and replication evidence are inventoried.",Mission 2 implementation judgment,M1-1.0.0
TR-16,SHOULD,Store validation observations with measurement scope.,"Census AIES, SRC-0099 printed page 19","Sample, segment and statistic accompany observations; means and medians remain distinct.",Mission 2 implementation judgment,M1-1.0.0
TR-17,MUST,Separate model recalibration from requirement changes.,IRS Item 15,Time-to-purchased-service redistribution appears in the change ledger.,Mission 2 implementation judgment,M1-1.0.0
TR-18,MUST,Identify stale sources and unsupported assumptions.,EPA TRI constants and TSA HME growth,Refresh reports distinguish old evidence from unsupported extrapolation.,Mission 2 implementation judgment,M1-1.0.0
TR-19,MUST,Check workbook formulas independently of caches.,"EPA CGP, SRC-0023","Formula, cached value and independent result are retained.",Mission 2 implementation judgment,M1-1.0.0
TR-20,MUST,"Distinguish zero, missing and not applicable.",SEC interactive data versus BLS SOII,Deferred federal cost remains missing; a justified zero can earn full credit.,Mission 2 implementation judgment,M1-1.0.0
