id,title,level,family,classification,difference_observed,evidence_assessed,limitations
CMP-01,Industry-requested carrier and cargo amendments,cross_ICR,task_duration,CONSISTENT,Each uses 1 hour per request.,All three paragraphs explicitly isolate industry/carrier requests; cargo practice approvals may be narrower. Equality is supported for the published scalar.,No inference about actual respondent performance or agency intent.
CMP-02,Surface training amendments across modes and transfer,cross_ICR_and_lineage,task_duration,CONSISTENT,8 hours and 10% annual amendment share in all three modes and the receiving collection.,"2025 explicitly consolidates 1652-0066 into the receiving collection. This is continuity of assumptions, not four independent estimates.",No inference about actual respondent performance or agency intent.
CMP-03,Training record entry across surface modes,within_ICR,recordkeeping,CONSISTENT,"1 minute per record across freight rail, PTPR and OTRB.",Source paragraphs isolate recordkeeping; training itself is outside this task.,No inference about actual respondent performance or agency intent.
CMP-04,Airport and carrier-requested amendments,cross_ICR,task_duration,UNRESOLVED,Airport preparation 25 hours versus carrier request documentation 1 hour.,"Airport obligation includes development, submission and implementation; timed paragraph does not decompose preparation. Carrier paragraph isolates request documentation. Public text does not establish equal complexity or full task boundaries.",The 25:1 published ratio is not an estimated inefficiency or a retained inconsistency.
CMP-05,Coordinator contact updates across surface and pipeline collections,cross_ICR,task_duration,UNRESOLVED,Surface 5 minutes for a new coordinator or alternate; pipeline 30 minutes for coordinator and/or alternate update.,"Both cover updates, but pipeline cardinality and task detail are not decomposed; one operator event may encompass more work than one person contact.",Do not call the 6:1 ratio inconsistent; event cardinality and scope remain unresolved.
CMP-06,Pipeline compensation loading with aligned source vintage,cross_ICR,benefit_loading,CONSISTENT,1.467370066 versus 1.467370.,Difference is displayed precision at six decimals; source period and occupational universe align.,No inference about actual respondent performance or agency intent.
CMP-07,Loading variation by employee universe and source vintage,cross_ICR,benefit_loading,DIFFERENT_EXPLAINED,"1.454667 full-time private industry, June 2024; 1.4582 transportation/material-moving source, March 2023.",Different cited populations and periods explain why the ratios differ. This does not establish that each proxy is optimal; domestic paragraph also has a month-label ambiguity.,Explanation of numeric variation is not an endorsement of proxy selection; March/June wording ambiguity retained.
CMP-08,Medical applicant wage and waiting-time conventions,cross_ICR,occupational_assignment,CONSISTENT,"Both use $32.66 mean wage, 1.4582 loading and 11-minute waiting assumption.",Published applicant components align; FAMS provider compensation and incumbent travel have different actor boundaries.,No inference about actual respondent performance or agency intent.
CMP-09,Medical applicant travel assumptions,cross_ICR,task_duration,UNRESOLVED,FAMS uses 20 minutes each way; TSO uses 34 each way.,"Different studies visibly explain source selection. Primary Altarum brief describes diary-day travel rather than explicitly one-way travel; TSO doubling needs clarification. FAMS source surveys adults aged 50+, not a measured applicant sample.",Source-selection difference is observable; neither a corrected TSO total nor applicant-specific travel accuracy is established. See external-source-review.json.
CMP-10,Online credential renewal times,cross_ICR,renewal,UNRESOLVED,TWIC and HME use 10 minutes; PreCheck uses 1.8 minutes and a separate conditional biometrics activity.,TWIC reports pilot completion faster than its retained conservative estimate. PreCheck separately models conditional biometric submission; common credential labels do not prove equal form content.,Do not treat conditional biometrics as duplicate renewals or equate published time to measured time for all programs.
CMP-11,Federal and contractor comment processing,within_ICR,federal_review_time,DIFFERENT_EXPLAINED,0.5 minute Federal threat triage versus 5 minutes contractor read/respond.,Source separates security triage from reading and selecting a response template. Different task boundaries explain the values.,No inference about actual respondent performance or agency intent.
CMP-12,FFDO interview burden removed,lineage,item15_baseline,DIFFERENT_EXPLAINED,10-minute verbal interview removed.,"Source explicitly moves certification questions online and removes duplicative interview questions. This explains the task deletion, not a fully reconciled numerical Item 15 bridge.",No inference about actual respondent performance or agency intent.
CMP-13,LEO checkpoint login duration change,lineage,task_duration,DIFFERENT_EXPLAINED,Prior 1 minute becomes 4 minutes.,Recent Item 15 cites user-experience feedback as basis. Published explanation supports changed estimate; underlying timing sample is not public.,No inference about actual respondent performance or agency intent.
