risk_id,icr_id,source_ids,locator,classification,significance,observed_comparison,interpretation,requirement_ids,evidence_version,classification_authority
R01,202406-1652-001,SRC-0038,"Item 12, first-flight checklist and Table 2",inconsistent_displayed_values,material,Narrative 54658; table 20165327 USD,Possible copy/versioning issue; intended internal editing history unestablished,TR-02,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R02,202408-1652-002,SRC-0040,"Item 12, Table 7",confirmed_displayed_arithmetic_discrepancy,material,Components 6049; reported subtotal 4451 hours,Intended component/subtotal version unresolved,TR-02;TR-19,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R03,202606-1652-002,SRC-0054,"Item 12, Tables 5a-5c",potential_scope_duplication,material,0.44+0.56+0.52*0.60=1.312,Alternative versus additive pathways require resolution; frozen numerical label conflicts with interpretation,TR-05,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R04,202606-1652-002,SRC-0054,"Item 12, Tables 7, 8 and 10",inconsistent_displayed_values,material,About 519 survey hours; summary 5187,Source survey equation reproduces 518.712; no complete corrected package total asserted,TR-02;TR-19,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R05,202606-1652-001,SRC-0022;SRC-0026,"Item 12, coordinator updates; JOLTS reference periods",unclear_source_transformation,methodological,Monthly separations plus annual mobility,Different periods and event definitions; overlapping events not resolved,TR-01;TR-03,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R06,202606-1652-001,SRC-0022,Item 14,confirmed_displayed_arithmetic_discrepancy,material,Printed rows 1149; reported 881 hours,Disclosed equation also differs; intended version unresolved,TR-12;TR-19,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R07,202412-1652-001,SRC-0176,"Item 12, applicant wage footnote",rate_version_ambiguity,material,Used 34.48; footnote transformation 50.1936426713 USD/hour,Neither alternative certified as intended corrected input,TR-01;TR-02;TR-06,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R08,202412-1652-001,SRC-0176,"Item 13, Table 11",displayed_precision_residual,small_relative_residual,1042500*56.55=58953375; reported 58954925 USD,Check source precision and versions before attributing cause,TR-03;TR-19,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R09,202504-1652-008,SRC-0180,"Item 12, wage table",weak_task_representativeness,methodological,2044400 of 2113450 employment weight are heavy truck drivers,Transparent workforce weights do not establish applicant/task weights,TR-06,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R10,202504-1652-008,SRC-0180,Item 14,unavailable_resource_model,public_support_gap,Federal costs equated with fee revenue,Financing is not an independently exposed gross resource breakdown,TR-10;TR-12,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R11,202508-1652-001,SRC-0048,"Item 14, table and footnote",unit_label_conflict,resolved_order_of_magnitude,Annual 156874666.67 USD from thousands table,Footnote resolves intended approximately 156.875 million; retain rounding,TR-03,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R12,202402-1652-002,SRC-0004,"Item 14, KSMS O&M narrative and table",inconsistent_displayed_values,material,Narrative 1.2 million; table 1.6 million USD,Possible version mismatch; intended estimate unresolved,TR-02,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R13,202411-1652-007,SRC-0018,Item 14,inconsistent_displayed_values,material,Federal annual totals 344209 and 283225 USD,Disclosed workload reproduces 344209; pay band labels also conflict,TR-02;TR-12,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R14,202405-1652-001,SRC-0036,"Item 12, summary hours",rounding_or_precision_question,small_residual,29638+3958=33596; reported 33594 hours,Do not equate small residual with material scope defect,TR-03,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R15,202412-1652-001,SRC-0176,Item 14,rounding_or_precision_question,small_residual,921400.97149 recomputed; 921402 reported USD,Precision check rather than material-error claim,TR-03,M1-1.0.0,Mission 2 synthesis; no frozen record edited
R16,202504-1652-008,SRC-0180,Items 12-13 totals,rounding_or_precision_question,small_residual,One-hour and one-dollar differences,Frozen numerical labels require semantic interpretation,TR-03,M1-1.0.0,Mission 2 synthesis; no frozen record edited
