icr_id,dimension,points,maximum,rationale,source_ids,locator,evidence_version
202306-3038-007,reproducibility,16,20,Attachment rows show activity formulas and four IC totals; displayed frequency/count and system-response inconsistencies.,SRC-0124;SRC-0125,Item12,M1-1.0.0
202306-3038-007,provenance,9,15,BLS2022 financial industry source and labor mix for new rate; inherited rates less traceable.,SRC-0124;SRC-0125,Items12–15 and footnotes,M1-1.0.0
202306-3038-007,segmentation,14,15,"Nine reporting activities, records, DCOs, corrections and new systems separated.",SRC-0124;SRC-0125,Item12,M1-1.0.0
202306-3038-007,labor,6,10,50/25/25 programmer/compliance/lawyer mix and1.3 loading; component wages and occupation codes omitted.,SRC-0124;SRC-0125,Item12,M1-1.0.0
202306-3038-007,item13,5,10,"Zero justified by inclusion in labor, without a detailed purchased-system boundary.",SRC-0124;SRC-0125,Item13,M1-1.0.0
202306-3038-007,item14,5,10,"No incremental staff/technology asserted, not a full workload model.",SRC-0124;SRC-0125,Item14,M1-1.0.0
202306-3038-007,item15,8,10,Exact2825-hour program increment connects1093 reporting and1732 system hours.,SRC-0124;SRC-0125,Item15,M1-1.0.0
202306-3038-007,validation,2,5,Staff experience; little independent support for large transaction frequencies or one-hour system changes.,SRC-0124;SRC-0125,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202306-3038-007,consistency,2,5,New UPI response frequency63 conflicts with109300 annual responses; new systems annual-response column1 conflicts with1732 entities.,SRC-0124;SRC-0125,Items12–15 and ROCIS summary,M1-1.0.0
202310-0607-003,reproducibility,17,20,Sector and single/multi-unit tables in accessible workbook; published disclosure rounding prevents exact reconstruction from all displayed counts.,SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Item12,M1-1.0.0
202310-0607-003,provenance,11,15,Sector-specific 2021 OEWS accountant rates and dated preliminary testing evidence; burden coefficients lack complete derivation.,SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Items12–15 and footnotes,M1-1.0.0
202310-0607-003,segmentation,15,15,"Single/multi-unit businesses, industry sectors and dress rehearsal are distinguished.",SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Item12,M1-1.0.0
202310-0607-003,labor,5,10,Accountant occupation and industry wage match are explicit; benefits and overhead are not included.,SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Item12,M1-1.0.0
202310-0607-003,item13,10,10,"Existing records, systems and customary professional services explicitly justify a zero.",SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Item13,M1-1.0.0
202310-0607-003,item14,3,10,Annual 39 million budget lists activities but lacks cost quantities and rates.,SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Item14,M1-1.0.0
202310-0607-003,item15,6,10,Adds 1000 multi-unit businesses and 3100 hours; consolidation and dress-rehearsal baselines remain complex.,SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Item15,M1-1.0.0
202310-0607-003,validation,5,5,"Independent response survey, questionnaire and paradata give measured burden distributions with sample sizes; measures cover different scopes.",SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202310-0607-003,consistency,2,5,Dress rehearsal 33256 hours in Item 12 versus 33305 in Item 13/workbook; main tables disclose rounding.,SRC-0075;SRC-0076;SRC-0097;SRC-0098;SRC-0099,Items12–15 and ROCIS summary,M1-1.0.0
202310-1219-001,reproducibility,17,20,Year/sector/size/season and activity matrices reconstruct most quantities; corrective-action dollars conflict with displayed hours and rates.,SRC-0105;SRC-0106,Item12,M1-1.0.0
202310-1219-001,provenance,11,15,Administrative2019 employment and historical inspection samples identified; series codes and wage transformations precise.,SRC-0105;SRC-0106,Items12–15 and footnotes,M1-1.0.0
202310-1219-001,segmentation,15,15,"Coal/nonmetal, size, seasonal quarters, entry cohorts and exposure thresholds meaningfully differentiated.",SRC-0105;SRC-0106,Item12,M1-1.0.0
202310-1219-001,labor,4,10,"Occupation/benefit/overhead stages explicit, but ECI and GDP changes both update the same period without economic explanation.",SRC-0105;SRC-0106,Item12,M1-1.0.0
202310-1219-001,item13,7,10,"Separates medical result transmission from broader medical examination costs; quantity and inflation explicit,10-dollar price unsupported.",SRC-0105;SRC-0106,Item13,M1-1.0.0
202310-1219-001,item14,5,10,Zero routine-inspection cost rationale does not address newly required NIOSH result flow or system costs.,SRC-0105;SRC-0106,Item14,M1-1.0.0
202310-1219-001,item15,8,10,New control plus effects on two existing controls quantified; one-hour rounding differences and labels need care.,SRC-0105;SRC-0106,Item15,M1-1.0.0
202310-1219-001,validation,4,5,Inspection exposure data and final-versus-proposed assumption revision; projected compliance decline and timing remain assumptions.,SRC-0105;SRC-0106,Items8 and12–15; cited consultation/method documents,M1-1.0.0
202310-1219-001,consistency,2,5,Corrective-action dollar error and mixed miner/mine respondent units; major tables otherwise traceable.,SRC-0105;SRC-0106,Items12–15 and ROCIS summary,M1-1.0.0
202310-1220-004,reproducibility,19,20,"Year, sector, contact type, response frequency and minutes are tabulated; averages use rounded annual totals.",SRC-0077;SRC-0078,Item12,M1-1.0.0
202310-1220-004,provenance,11,15,March 2023 ECEC and historical collection experience identified; citation filename and underlying timing studies require verification.,SRC-0077;SRC-0078,Items12–15 and footnotes,M1-1.0.0
202310-1220-004,segmentation,15,15,"Initiation, update, nonresponse, testing and quality recontacts are distinct, with public/private strata.",SRC-0077;SRC-0078,Item12,M1-1.0.0
202310-1220-004,labor,8,10,Direct ECEC compensation avoids a second benefits load; historical 70/30 occupational mix disclosed.,SRC-0077;SRC-0078,Item12,M1-1.0.0
202310-1220-004,item13,8,10,"Explicitly excludes capital, O&M and purchased services because only respondent time is used.",SRC-0077;SRC-0078,Item13,M1-1.0.0
