icr_id,label,formula,calculated,reported,difference,unit,source_id,arithmetic_status,interpretation
202306-3038-007,Bridge,1460357+1093+1732,1463182,1463182,0,hours,SRC-0125,exact,Exact.
202306-3038-007,UPI row,1732*63*.01,1091.16,1093,-1.8399999999999181,hours,SRC-0125,difference_requires_interpretation,Displayed inputs do not reproduce total.
202306-3038-007,IC totals,1445346+5652+10452+1732,1463182,1463182,0,hours,SRC-0125,exact,Exact.
202310-0607-003,Main implied hours,385940*203/60,1305763.6666666667,1303636,2127.6666666667443,hours,SRC-0076,difference_requires_interpretation,Average time rounded; not an arithmetic error
202310-0607-003,Dress narrative,8470*235/60+50,33224.166666666664,33256,-31.83333333333576,hours,SRC-0076,difference_requires_interpretation,Rounding; workbook instead reports33305
202310-0607-003,Added burden,1000*3.1,3100.0,3100,0.0,hours,SRC-0076,exact,Exact
202310-1219-001,Annual hours,(18720+109983+63215)/3,63972.666666666664,63972,0.6666666666642413,hours,SRC-0106,difference_requires_interpretation,Underlying unrounded values needed; displayed average differs0.67
202310-1219-001,Annual labor,(1260818.92+7704098.39+4238135.24)/3,4401017.516666667,4401018,-0.4833333333954215,USD,SRC-0106,within_display_rounding,Rounding
202310-1219-001,Repeat attempts,.8*1+.15*2+.05*3,1.25,1.25,0.0,attempts,SRC-0106,exact,Exact
202310-1219-001,Corrective cost,1845.97*38.37,70829.8689,45870.4,24959.4689,USD,SRC-0106,difference_requires_interpretation,Material discrepancy
202310-1219-001,Transmission cost,2*(8392+8392+88112)/3*10*(117.996/110.220),748642.6187624752,748639.05,3.5687624751590192,USD,SRC-0106,difference_requires_interpretation,Rounding
202310-1220-004,Average hours,(39591+41820+42985)/3,41465.333333333336,41465,0.33333333333575865,hours,SRC-0078,within_display_rounding,Rounding
202310-1220-004,Compensation,.7*63.45+.3*33.01,54.318,54.32,-0.0020000000000024443,USD/hour,SRC-0078,within_display_rounding,Rounding
202310-1220-004,Annual labor,41465*54.32,2252378.8,2252379,-0.20000000018626451,USD,SRC-0078,within_display_rounding,Rounding
202311-2137-001,New large burden,30*3*50,4500,4500,0,hours,SRC-0080,exact,Exact
202311-2137-001,Small updates,35700*5,178500,178499,1,hours,SRC-0080,difference_requires_interpretation,One-hour discrepancy
202311-2137-001,Loaded clerk,17.48/(1-.317),25.592972181551975,25.59,0.002972181551974984,USD/hour,SRC-0080,within_display_rounding,Rounding
202312-2050-001,Net burden,8276-8266,10,10,0,hours,SRC-0056,exact,Exact
202312-2050-001,Mail costs,442*3.96,1750.32,1750.32,0.0,USD,SRC-0056,exact,Exact
202312-2050-001,Annualreport unitlabor,38*102.26+2*38.27,3962.42,6136,-2173.58,USD,SRC-0056,difference_requires_interpretation,Material rate/product mismatch
202312-2050-001,Federal gross/net,473+73.2+186-240,492.20000000000005,492,0.20000000000004547,hours,SRC-0056,within_display_rounding,Rounded
202401-1615-055,Hours,153000*4.387+306000*1.17,1029230.9999999999,1029231,-1.1641532182693481e-10,hours,SRC-0058,exact,Exact
202401-1615-055,Purchasedservices,153000*.25*515,19698750.0,19698750,0.0,USD,SRC-0058,exact,Exact
202401-1615-055,Federalproxy,153000*750,114750000,114750000,0,USD,SRC-0058,exact,"Exact proxy,notvalidationofcostscope"
202401-1615-055,Change,671211-699210,-27999,-27999,0,hours,SRC-0058,exact,Exact
202401-2070-005,Annual hours,(2947925+2886506)*18/48/3+181,729484.875,729485,-0.125,hours,SRC-0183,within_display_rounding,Fractional-cycle annualization within rounding.
202401-2070-005,Change bridge,719291-25417+35611,729485,729485,0,hours,SRC-0183,exact,Exact.
202401-2070-005,Federal QC,40286*.005,201.43,188,13.430000000000007,hours,SRC-0183,difference_requires_interpretation,Displayed unit coefficient does not reproduce total.
202401-2070-005,Reported total conflict,729304+181,729485,735485,-6000,hours,SRC-0183,difference_requires_interpretation,6000-hour typo.
202401-3235-005,Liquidity hours change,20*4*71-21*4*70,-200,-200,0,hours,SRC-0108,exact,Exact
202401-3235-005,Financial rate,(416+339)/2,377.5,355,22.5,USD/hour,SRC-0108,difference_requires_interpretation,Material discrepancy
202401-3235-005,Initial hedge labor,195*(360+416)/2+130*(386+280)/2,118950.0,118890,60.0,USD,SRC-0108,difference_requires_interpretation,60-dollar discrepancy from displayed75600 subtotal
