icr_id,rubric_version,reproducibility,provenance,segmentation,labor,item13,item14,item15,validation,consistency,total,thoroughness
202310-0607-003,1.0.0,17,11,15,5,10,3,6,5,2,74,extensive
202310-1219-001,1.0.0,17,11,15,4,7,5,8,4,2,73,extensive
202310-1220-004,1.0.0,19,11,15,8,8,3,6,4,4,78,extensive
202311-2137-001,1.0.0,18,8,14,4,5,2,8,2,3,64,extensive
202312-2050-001,1.0.0,14,10,15,6,7,7,8,3,1,71,extensive
202401-1615-055,1.0.0,19,6,13,4,7,5,9,2,4,69,moderate
202401-3235-005,1.0.0,14,9,15,4,6,2,7,3,1,61,extensive
202402-1652-002,1.0.0,14,11,13,5,8,6,4,2,1,64,extensive
202403-0910-005,1.0.0,16,9,13,4,3,5,6,3,1,60,extensive
202403-1219-001,1.0.0,19,11,13,4,5,6,8,3,3,72,moderate
202404-1220-001,1.0.0,19,12,15,7,10,5,8,3,4,83,extensive
202404-2137-003,1.0.0,18,9,14,6,5,5,8,2,1,68,extensive
202405-1218-005,1.0.0,17,11,14,8,8,5,9,4,2,78,extensive
202405-1652-001,1.0.0,17,12,15,8,7,5,6,2,2,74,extensive
202406-1652-001,1.0.0,17,11,15,7,8,8,5,3,2,76,extensive
202408-1652-002,1.0.0,12,10,14,6,4,7,5,2,0,60,extensive
202409-2126-001,1.0.0,17,3,13,2,6,8,7,1,3,60,brief
202409-3235-022,1.0.0,20,9,14,4,8,4,9,3,5,76,brief
202410-0910-013,1.0.0,18,8,14,5,4,2,7,3,3,64,extensive
202410-0960-002,1.0.0,15,8,15,4,7,4,4,4,1,62,extensive
202410-7100-005,1.0.0,16,9,13,5,2,3,5,2,3,58,moderate
202411-1218-005,1.0.0,16,10,12,5,6,8,8,2,2,69,extensive
202411-1651-004,1.0.0,16,11,10,8,1,2,7,2,0,57,moderate
202411-1652-007,1.0.0,18,10,13,6,8,6,4,2,1,68,moderate
202411-2070-003,1.0.0,18,10,14,8,6,7,6,3,3,75,extensive
202412-3170-001,1.0.0,17,3,13,0,5,7,6,2,1,54,extensive
202501-1210-006,1.0.0,19,11,12,7,9,9,7,4,4,82,moderate
202502-2040-002,1.0.0,16,11,15,7,5,6,6,4,1,71,extensive
202502-3235-014,1.0.0,18,5,10,0,5,0,9,2,4,53,brief
202503-3060-020,1.0.0,19,8,14,4,8,5,10,4,4,76,extensive
202504-1902-007,1.0.0,18,8,13,5,6,7,8,2,2,69,moderate
202505-3060-038,1.0.0,18,8,14,3,8,6,8,3,1,69,extensive
202506-0938-007,1.0.0,17,9,10,4,4,4,7,3,2,60,moderate
202506-2130-004,1.0.0,13,9,14,5,6,7,9,3,1,67,extensive
202507-1902-004,1.0.0,17,9,14,6,2,6,6,3,1,64,extensive
202508-1652-001,1.0.0,16,11,14,7,6,5,7,2,2,70,extensive
202508-2126-007,1.0.0,13,10,13,4,6,6,6,3,0,61,extensive
202509-2060-003,1.0.0,18,9,15,3,6,5,8,2,2,68,extensive
202511-1545-005,1.0.0,12,11,15,7,7,6,9,4,2,73,extensive
202602-0607-001,1.0.0,18,9,14,4,10,4,6,3,3,71,extensive
202602-3170-003,1.0.0,15,5,9,3,6,3,4,1,0,46,extensive
202603-1210-004,1.0.0,16,10,15,7,8,4,6,3,2,71,extensive
202606-1652-001,1.0.0,15,11,13,7,6,7,4,2,1,66,extensive
202606-1652-002,1.0.0,10,8,11,6,5,4,3,3,0,50,extensive
